 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
395.009	1.347	-1.023	3.869872956e-08	4.30283025e-09	-4.94997608e-09
397.384	0.835	-1.028	3.839721365e-08	4.83395475e-09	-5.58882923e-09
399.552	1.303	-1.332	4.1303401e-08	4.20911254e-09	-5.36154644e-09
402.176	1.356	-1.322	4.03120889e-08	4.16585667e-09	-5.58127038e-09
404.722	0.993	-1.190	3.274639784e-08	4.17132631e-09	-5.39335376e-09
406.768	0.869	-1.053	3.740865241e-08	4.78907082e-09	-6.42501047e-09
408.839	1.018	-1.203	3.231353037e-08	4.19866248e-09	-5.81976914e-09
410.899	0.959	-1.043	3.564932105e-08	4.72291384e-09	-6.72522313e-09
412.824	0.882	-0.966	3.860894566e-08	5.18029043e-09	-7.57275267e-09
414.985	1.192	-1.279	2.863018497e-08	3.935727582e-09	-5.88545695e-09
417.319	1.063	-1.141	3.227515868e-08	4.50823047e-09	-6.94637463e-09
419.529	1.244	-1.147	2.953360188e-08	4.14069392e-09	-6.48163568e-09
421.653	1.013	-0.880	3.78608962e-08	5.20519654e-09	-7.96019085e-09
423.919	1.148	-1.252	2.974965667e-08	3.927789386e-09	-5.60348578e-09
426.143	1.051	-1.076	3.355395971e-08	4.49353382e-09	-6.5726306e-09
428.486	1.123	-1.291	2.968167915e-08	3.990324133e-09	-6.49538597e-09
430.694	1.074	-1.085	3.873168775e-08	4.65927514e-09	-8.38039474e-09
432.558	1.050	-0.789	3.909623685e-08	4.967989e-09	-8.6505324e-09
434.844	1.262	-1.236	2.985727705e-08	3.835042898e-09	-6.67019791e-09
437.129	1.150	-1.023	3.502601868e-08	4.43167556e-09	-7.85719801e-09
439.537	1.171	-1.259	3.15979579e-08	4.08159855e-09	-7.0857903e-09
442.018	1.388	-1.309	4.33419647e-08	5.03320764e-09	-9.21022815e-09
444.754	1.162	-1.348	3.016145159e-08	4.08770979e-09	-6.84601636e-09
447.148	1.127	-1.232	3.277940816e-08	4.48986467e-09	-7.37801905e-09
449.471	1.267	-1.196	3.111887518e-08	4.31432291e-09	-7.00764342e-09
452.075	1.141	-1.338	3.080358492e-08	4.28844638e-09	-6.95805576e-09
